seed,noise_rate,lambda,p_over_n,D,train_mse,test_mse,train_acc,test_acc,solution_norm,regularized_condition_number,effective_degrees_of_freedom,min_singular_value,max_singular_value
42,0.0,0.0,2.0,2000,1.211772747754755e-30,0.04279236410949331,100.0,87.75,33.315011774113096,25712.07313810501,999.9999999926956,0.07884368532248881,12.642572806913275
42,0.0,1e-06,2.0,2000,1.3691358002394265e-12,0.04279179229698557,100.0,87.75,33.31460079662056,25707.93775185226,999.9926958872801,0.07884368532248881,12.642572806913275
42,0.0,0.0001,2.0,2000,1.358273916525783e-08,0.04273552819442349,100.0,87.74,33.27413405140054,25305.015776442688,999.2723216140429,0.07884368532248881,12.642572806913275
42,0.0,0.01,2.0,2000,8.233968793653426e-05,0.0389342784373062,100.0,88.75,30.3948602948668,9857.019409208404,943.1890137140381,0.07884368532248881,12.642572806913275
42,0.0,0.1,2.0,2000,0.0019756620524746145,0.030152417537766797,100.0,90.66,21.696397707705632,1505.7444756764314,720.8218177784818,0.07884368532248881,12.642572806913275
42,0.1,0.0,0.8,800,0.007023709478305856,0.21643976729099138,99.9,51.67,59.84765368627567,33805.75650770866,799.9999999912804,0.06845865852221115,12.587042954342536
42,0.1,1e-06,0.8,800,0.007023709499837829,0.21641654842884156,99.9,51.67,59.844055579789526,33798.54496880383,799.9912809576349,0.06845865852221115,12.587042954342536
42,0.1,0.0001,0.8,800,0.007023920126845859,0.21415583665827634,99.9,51.85999999999999,59.492668643040524,33099.51739359206,799.133611240356,0.06845865852221115,12.587042954342536
42,0.1,0.01,0.8,800,0.007634709931193052,0.12440485174264668,99.6,63.41,43.251714888313614,10788.32272857875,741.2333215355661,0.06845865852221115,12.587042954342536
42,0.1,0.1,0.8,800,0.01209154456798922,0.0552933193043214,98.9,80.28999999999999,23.644520984650757,1514.3644804387593,566.4044810231911,0.06845865852221115,12.587042954342536
42,0.1,0.0,0.9,900,0.0032660629414536574,0.4131905559128308,100.0,39.73,90.06400853474521,169008.6870392284,899.9999999755755,0.0307857090884341,12.656210088546652
42,0.1,1e-06,0.9,900,0.0032660631567695618,0.4129872996599889,100.0,39.72,90.04009187261815,168830.55185363733,899.9755832139758,0.0307857090884341,12.656210088546652
42,0.1,0.0001,0.9,900,0.003268006459641803,0.3943622657925233,100.0,40.39,87.82129059397298,152878.30374077611,897.6296940330639,0.0307857090884341,12.656210088546652
42,0.1,0.01,0.9,900,0.004624477127384417,0.13477368884566934,99.8,60.809999999999995,47.4179873439935,14632.185533992957,802.396092336582,0.0307857090884341,12.656210088546652
42,0.1,0.1,0.9,900,0.009911225636807611,0.05509403652417097,99.1,79.89,24.311943154696927,1587.7484947609091,597.3850620914911,0.0307857090884341,12.656210088546652
42,0.1,0.0,0.95,950,0.0015301939232159664,0.9030120736296737,100.0,28.249999999999996,139.74044735217427,666222.8137411844,949.9999999413251,0.015309134634451719,12.495694346561354
42,0.1,1e-06,0.95,950,0.0015301966903294541,0.9005385800029698,100.0,28.28,139.54200255688272,663392.2819379957,949.9414021190419,0.015309134634451719,12.495694346561354
42,0.1,0.0001,0.95,950,0.0015475683774201184,0.7277101332349819,100.0,30.72,124.9189539841659,466975.69301252364,944.7592499637582,0.015309134634451719,12.495694346561354
42,0.1,0.01,0.95,950,0.0035931647766292677,0.13447158381441765,99.9,61.160000000000004,49.142816353210684,15257.644902037739,825.9607338160888,0.015309134634451719,12.495694346561354
42,0.1,0.1,0.95,950,0.009242185635390678,0.053551423460942896,99.0,80.60000000000001,24.549054943439057,1558.7704878188847,609.6560319513136,0.015309134634451719,12.495694346561354
42,0.1,0.0,0.98,980,0.0006246874690802087,2.0184423497905044,100.0,23.41,215.3378556116158,4344037.257439967,979.9999998273702,0.005945346984517711,12.391502903895528
42,0.1,1e-06,0.98,980,0.0006247221460464361,1.9880572646203578,100.0,23.599999999999998,213.70802137688352,4224522.197199546,979.8290963763523,0.005945346984517711,12.391502903895528
42,0.1,0.0001,0.98,980,0.0007015704680464867,1.025865806343793,100.0,29.34,152.53010048388762,1134485.9743842334,969.4124918972341,0.005945346984517711,12.391502903895528
42,0.1,0.01,0.98,980,0.003027287565232576,0.13280475921075055,99.9,61.0,49.40983005466614,15301.846753305916,837.8964258673323,0.005945346984517711,12.391502903895528
42,0.1,0.1,0.98,980,0.008741759224522676,0.053615899723326886,99.2,79.99000000000001,24.97871334390733,1535.9505274238884,615.3587940080552,0.005945346984517711,12.391502903895528
42,0.1,0.0,1.0,1000,4.903183296981278e-28,65.22318296210089,100.0,12.379999999999999,1229.0629462884733,1041013733.1675506,999.9999912835452,0.00038801913477644047,12.519379793877471
42,0.1,1e-06,1.0,1000,2.4103118544708103e-05,14.407549639207405,100.0,15.17,576.6166831658194,136224993.24221593,997.7458615046934,0.00038801913477644047,12.519379793877471
